日期,销量
2017-06-18,1148
2017-06-19,1199
2017-06-20,1232
2017-06-21,1184
2017-06-22,1172
2017-06-23,1262
2017-06-24,1221
2017-06-25,1240
2017-06-26,1227
2017-06-27,1256
2017-06-28,1237
2017-06-29,1212
2017-06-30,1285
2017-07-01,1242
2017-07-02,1231
2017-07-03,1303
2017-07-04,1253
2017-07-05,1228
2017-07-06,1236
2017-07-07,1257
2017-07-08,1273
2017-07-09,1266
2017-07-10,1265
2017-07-11,1332
2017-07-12,1278
2017-07-13,1266
2017-07-14,1276
2017-07-15,1282
2017-07-16,1337
2017-07-17,1311
2017-07-18,1339
2017-07-19,1332
2017-07-20,1378
2017-07-21,1306
2017-07-22,1355
2017-07-23,1351
2017-07-24,1338
2017-07-25,1386
2017-07-26,1401
2017-07-27,1370
2017-07-28,1357
2017-07-29,1356
2017-07-30,1445
2017-07-31,1426
2017-08-01,1397
2017-08-02,1454
2017-08-03,1385
2017-08-04,1383
2017-08-05,1433
2017-08-06,1442
2017-08-07,1408
2017-08-08,1485
2017-08-09,1471
2017-08-10,1502
2017-08-11,1459
2017-08-12,1490
2017-08-13,1441
2017-08-14,1509
2017-08-15,1521
2017-08-16,1470
2017-08-17,1538
2017-08-18,1521
2017-08-19,1527
2017-08-20,1518
2017-08-21,1504
2017-08-22,1477
2017-08-23,1476
2017-08-24,1510
2017-08-25,1547
2017-08-26,1501
2017-08-27,1512
2017-08-28,1575
2017-08-29,1510
2017-08-30,1525
2017-08-31,1609
2017-09-01,1543
2017-09-02,1521
2017-09-03,1550
2017-09-04,1552
2017-09-05,1595
2017-09-06,1598
2017-09-07,1620
2017-09-08,1621
2017-09-09,1624
2017-09-10,1609
2017-09-11,1575
2017-09-12,1592
2017-09-13,1645
2017-09-14,1641
2017-09-15,1660
2017-09-16,1623
2017-09-17,1663
2017-09-18,1608
2017-09-19,1688
2017-09-20,1613
2017-09-21,1689
2017-09-22,1694
2017-09-23,1680
2017-09-24,1699
2017-09-25,1674
2017-09-26,1707
2017-09-27,1712
2017-09-28,1718
2017-09-29,1737
2017-09-30,1668
2017-10-01,1747
2017-10-02,1743
2017-10-03,1744
2017-10-04,1718
2017-10-05,1693
2017-10-06,1782
2017-10-07,1723
2017-10-08,1792
2017-10-09,1722
2017-10-10,1723
2017-10-11,1727
2017-10-12,1809
2017-10-13,1787
2017-10-14,1788
2017-10-15,1742
2017-10-16,1802
2017-10-17,1826
2017-10-18,1843
2017-10-19,1761
2017-10-20,1846
2017-10-21,1842
2017-10-22,1773
2017-10-23,1822
2017-10-24,1811
2017-10-25,1843
2017-10-26,1819
2017-10-27,1842
2017-10-28,1893
2017-10-29,1878
2017-10-30,1889
2017-10-31,1878
2017-11-01,1851
2017-11-02,1829
2017-11-03,1909
2017-11-04,1911
2017-11-05,1850
2017-11-06,1923
2017-11-07,1856
2017-11-08,1941
2017-11-09,1912
2017-11-10,1917
2017-11-11,1945
2017-11-12,1883
2017-11-13,1890
2017-11-14,1909
2017-11-15,1894
2017-11-16,1972
2017-11-17,1996
2017-11-18,1928
2017-11-19,1920
2017-11-20,1923
2017-11-21,1923
2017-11-22,1970
2017-11-23,2009
2017-11-24,1995
2017-11-25,2010
2017-11-26,2013
2017-11-27,2010
2017-11-28,1958
2017-11-29,2050
2017-11-30,2064
2017-12-01,1979
2017-12-02,2017
2017-12-03,1990
2017-12-04,2026
2017-12-05,1991
2017-12-06,2054
2017-12-07,2057
2017-12-08,2080
2017-12-09,2029
2017-12-10,2064
2017-12-11,2081
2017-12-12,2042
2017-12-13,2043
2017-12-14,2079
2017-12-15,2125
2017-12-16,2074
2017-12-17,2107
2017-12-18,2154
2017-12-19,2076
2017-12-20,2089
2017-12-21,2098
2017-12-22,2088
2017-12-23,2094
2017-12-24,2091
2017-12-25,2105
2017-12-26,2104
2017-12-27,2182
2017-12-28,2115
2017-12-29,2157
2017-12-30,2128
2017-12-31,2214
